All-Defensive 2nd Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
,Tony Allen,SG,Memphis Grizzlies,.510,8.9,2.7,1.4,0.6
,Andre Iguodala,F,Philadelphia 76ers,.445,14.1,5.8,6.3,0.6
,Chris Paul,PG,New Orleans Hornets,.463,15.9,4.1,9.8,0.1
,Joakim Noah,C,Chicago Bulls,.525,11.7,10.4,2.2,1.5
2010,Tim Duncan,C,San Antonio Spurs,.518,17.9,10.1,3.2,1.5
,Dwyane Wade,G,Miami Heat,.476,26.6,4.8,6.5,1.1
,Josh Smith,PF,Atlanta Hawks,.505,15.7,8.7,4.2,2.1
,Anderson Varejao,C,Cleveland Cavaliers,.572,8.6,7.6,1.1,0.9
,Thabo Sefolosha,F,Oklahoma City Thunder,.440,6.0,4.7,1.8,0.6
2009,Metta World Peace,SF,Los Angeles Lakers,.401,17.1,5.2,3.3,0.3
,Tim Duncan,C,San Antonio Spurs,.504,19.3,10.7,3.5,1.7
,Shane Battier,SF,Houston Rockets,.410,7.3,4.8,2.3,0.9
,Dwyane Wade,G,Miami Heat,.491,30.2,5.0,7.5,1.3
,Rajon Rondo,PG,Boston Celtics,.505,11.9,5.2,8.2,0.1
2008,Raja Bell,SG,Phoenix Suns,.421,11.9,3.7,2.2,0.4
,Shane Battier,SF,Houston Rockets,.428,9.3,5.1,1.9,1.1
,Tayshaun Prince,SF,Detroit Pistons,.448,13.2,4.9,3.3,0.4
,Dwight Howard,C,Orlando Magic,.599,20.7,14.2,1.3,2.1
,Chris Paul,PG,New Orleans Hornets,.488,21.1,4.0,11.6,0.1
2007,Kevin Garnett,PF,Minnesota Timberwolves,.476,22.4,12.8,4.1,1.7
,Jason Kidd,PG,New Jersey Nets,.406,13.0,8.2,9.2,0.3
,Ben Wallace,PF,Chicago Bulls,.453,6.4,10.7,2.4,2.0
,Tayshaun Prince,SF,Detroit Pistons,.460,14.3,5.2,2.8,0.7
,Kirk Hinrich,SG,Chicago Bulls,.448,16.6,3.4,6.3,0.3
2006,Chauncey Billups,PG,Detroit Pistons,.418,18.5,3.1,8.6,0.1
,Marcus Camby,C,Denver Nuggets,.465,12.8,11.9,2.1,3.3
,Tim Duncan,C,San Antonio Spurs,.484,18.6,11.0,3.2,2.0
,Kevin Garnett,PF,Minnesota Timberwolves,.526,21.8,12.7,4.1,1.4
,Tayshaun Prince,SF,Detroit Pistons,.455,14.1,4.2,2.3,0.5
2005,Chauncey Billups,PG,Detroit Pistons,.443,16.5,3.4,5.8,0.1
,Marcus Camby,C,Denver Nuggets,.465,10.3,10.0,2.3,3.0
,Jason Kidd,PG,New Jersey Nets,.398,14.4,7.4,8.3,0.1
,Andrei Kirilenko,SF,Utah Jazz,.493,15.6,6.2,3.2,3.3
,Tayshaun Prince,SF,Detroit Pistons,.487,14.7,5.3,3.0,0.9
,Dwyane Wade,G,Miami Heat,.478,24.1,5.2,6.8,1.1
2004,Doug Christie,SG,Sacramento Kings,.461,10.1,4.0,4.2,0.5
,Tim Duncan,C,San Antonio Spurs,.501,22.3,12.4,3.1,2.7
,Jason Kidd,PG,New Jersey Nets,.384,15.5,6.4,9.2,0.2
,Andrei Kirilenko,SF,Utah Jazz,.443,16.5,8.1,3.1,2.8
,Theo Ratliff,C,Portland Trail Blazers,.485,7.9,7.2,0.8,3.6
2003,Metta World Peace,SF,Indiana Pacers,.428,15.5,5.2,2.9,0.7
,Bruce Bowen,SF,San Antonio Spurs,.466,7.1,2.9,1.4,0.5
,Jason Kidd,PG,New Jersey Nets,.414,18.7,6.3,8.9,0.3
,Shaquille O'Neal,C,Los Angeles Lakers,.574,27.5,11.1,3.1,2.4
,Eric Snow,PG,Philadelphia 76ers,.452,12.9,3.7,6.6,0.1
2002,Bruce Bowen,SF,San Antonio Spurs,.389,7.0,2.7,1.5,0.4
,Kobe Bryant,SF,Los Angeles Lakers,.469,25.2,5.5,5.5,0.4
,Doug Christie,SG,Sacramento Kings,.460,12.0,4.6,4.2,0.3
,Dikembe Mutombo,C,Philadelphia 76ers,.501,11.5,10.8,1.0,2.4
,Clifford Robinson,PF,Detroit Pistons,.425,14.6,4.8,2.5,1.2
2001,Bruce Bowen,SF,Miami Heat,.363,7.6,3.0,1.6,0.6
,P.J. Brown,PF,Charlotte Hornets,.444,8.5,9.3,1.6,1.2
,Kobe Bryant,SF,Los Angeles Lakers,.464,28.5,5.9,5.0,0.6
,Doug Christie,SG,Sacramento Kings,.395,12.3,4.4,3.6,0.6
,Shaquille O'Neal,C,Los Angeles Lakers,.572,28.7,12.7,3.7,2.8
2000,Eddie Jones,SG,Charlotte Hornets,.427,20.1,4.8,4.2,0.7
,Jason Kidd,PG,Phoenix Suns,.409,14.3,7.2,10.1,0.4
,Shaquille O'Neal,C,Los Angeles Lakers,.574,29.7,13.6,3.8,3.0
,Scottie Pippen,SF,Portland Trail Blazers,.451,12.5,6.3,5.0,0.5
,Clifford Robinson,PF,Portland Trail Blazers,.464,18.5,4.5,2.8,0.8
1999,Mookie Blaylock,G,Atlanta Hawks,.379,13.3,4.7,5.8,0.2
,P.J. Brown,PF,Miami Heat,.480,11.4,6.9,1.3,1.0
,Eddie Jones,SG,Charlotte Hornets,.437,15.6,3.9,3.7,1.2
,Dikembe Mutombo,C,Atlanta Hawks,.512,10.8,12.2,1.1,2.9
,Theo Ratliff,C,Philadelphia 76ers,.470,11.2,8.1,0.6,3.0
1998,Mookie Blaylock,G,Atlanta Hawks,.392,13.2,4.9,6.7,0.3
,Tim Duncan,C,San Antonio Spurs,.549,21.1,11.9,2.7,2.5
,Eddie Jones,SG,Los Angeles Lakers,.484,16.9,3.8,3.1,0.7
,Charles Oakley,PF,New York Knicks,.440,9.0,9.2,2.5,0.3
,David Robinson,C,San Antonio Spurs,.511,21.6,10.6,2.7,2.6
1997,Mookie Blaylock,G,Atlanta Hawks,.432,17.4,5.3,5.9,0.3
,P.J. Brown,PF,Miami Heat,.457,9.5,8.4,1.2,1.2
,Anthony Mason,F,Charlotte Hornets,.525,16.2,11.4,5.7,0.5
,Hakeem Olajuwon,C,Houston Rockets,.510,23.2,9.2,3.0,2.2
,John Stockton,G,Utah Jazz,.548,14.4,2.8,10.5,0.2
1996,Mookie Blaylock,G,Atlanta Hawks,.405,15.7,4.1,5.9,0.2
,Horace Grant,C,Orlando Magic,.513,13.4,9.2,2.7,1.2
,Derrick McKey,F,Indiana Pacers,.486,11.7,4.8,3.5,0.6
,Hakeem Olajuwon,C,Houston Rockets,.514,26.9,10.9,3.6,2.9
,Bobby Phills,F,Cleveland Cavaliers,.467,14.6,3.6,3.8,0.4
1995,Horace Grant,C,Orlando Magic,.567,12.8,9.7,2.3,1.2
,Derrick McKey,F,Indiana Pacers,.493,13.3,4.9,3.4,0.6
,Dikembe Mutombo,C,Denver Nuggets,.556,11.5,12.5,1.4,3.9
,John Stockton,G,Utah Jazz,.542,14.7,3.1,12.3,0.3
,Nate McMillan,G,Seattle SuperSonics,.418,5.2,3.8,5.3,0.7
1994,Horace Grant,C,Chicago Bulls,.524,15.1,11.0,3.4,1.2
,David Robinson,C,San Antonio Spurs,.507,29.8,10.7,4.8,3.3
,Dennis Rodman,F,San Antonio Spurs,.534,4.7,17.3,2.3,0.4
,Latrell Sprewell,SG,Golden State Warriors,.433,21.0,4.9,4.7,0.9
,Nate McMillan,G,Seattle SuperSonics,.447,6.0,3.9,5.3,0.3
1993,Horace Grant,C,Chicago Bulls,.508,13.2,9.5,2.6,1.2
,Dan Majerle,G,Phoenix Suns,.464,16.9,4.7,3.8,0.4
,David Robinson,C,San Antonio Spurs,.501,23.4,11.7,3.7,3.2
,John Starks,G,New York Knicks,.428,17.5,2.6,5.1,0.2
,Larry Nance,F,Cleveland Cavaliers,.549,16.5,8.7,2.9,2.6
1992,Patrick Ewing,C,New York Knicks,.522,24.0,11.2,1.9,3.0
,John Stockton,G,Utah Jazz,.482,15.8,3.3,13.7,0.3
,Buck Williams,F,Portland Trail Blazers,.604,11.3,8.8,1.4,0.5
,Micheal Williams,G,Indiana Pacers,.490,15.0,3.6,8.2,0.3
,Larry Nance,F,Cleveland Cavaliers,.539,17.0,8.3,2.9,3.0
1991,Dan Majerle,G,Phoenix Suns,.484,13.6,5.4,2.8,0.5
,Hakeem Olajuwon,C,Houston Rockets,.508,21.2,13.8,2.3,3.9
,Scottie Pippen,SF,Chicago Bulls,.520,17.8,7.3,6.2,1.1
,John Stockton,G,Utah Jazz,.507,17.2,2.9,14.2,0.2
,Joe Dumars,G,Detroit Pistons,.481,20.4,2.3,5.5,0.1
1990,David Robinson,C,San Antonio Spurs,.531,24.3,12.0,2.0,3.9
,Derek Harper,G,Dallas Mavericks,.488,18.0,3.0,7.4,0.3
,Rick Mahorn,F,Philadelphia 76ers,.497,10.8,7.6,1.3,1.4
,Alvin Robertson,G,Milwaukee Bucks,.503,14.2,6.9,5.5,0.2
,Kevin McHale,,Boston Celtics,No stats available.
1989,Patrick Ewing,C,New York Knicks,.567,22.7,9.3,2.4,3.5
,A.C. Green,F,Los Angeles Lakers,.529,13.3,9.0,1.3,0.7
,John Stockton,G,Utah Jazz,.538,17.1,3.0,13.6,0.2
,Alvin Robertson,G,San Antonio Spurs,.483,17.3,5.9,6.0,0.6
,Kevin McHale,,Boston Celtics,No stats available.
1988,Patrick Ewing,C,New York Knicks,.555,20.2,8.2,1.5,3.0
,Karl Malone,PF,Utah Jazz,.520,27.7,12.0,2.4,0.6
,Buck Williams,F,New Jersey Nets,.560,18.3,11.9,1.6,0.6
,Mark Eaton,C,Utah Jazz,.418,7.0,8.7,0.7,3.7
,Fat Lever,G,Denver Nuggets,.473,18.9,8.1,7.8,0.3
,Alvin Robertson,G,San Antonio Spurs,.465,19.6,6.1,6.8,0.8
1987,Derek Harper,G,Dallas Mavericks,.500,16.0,2.6,7.9,0.3
,Mark Eaton,C,Utah Jazz,.400,7.7,8.8,1.3,4.1
,Maurice Cheeks,,Philadelphia 76ers,No stats available.
,Rodney McCray,,Houston Rockets,No stats available.
,Paul Pressey,,Milwaukee Bucks,No stats available.
1986,Manute Bol,C,Washington Bullets,.460,3.7,6.0,0.3,5.0
,Alvin Robertson,G,San Antonio Spurs,.514,17.0,6.3,5.5,0.5
,Michael Cooper,,Los Angeles Lakers,No stats available.
,Bill Hanzlik,,Denver Nuggets,No stats available.
,Dennis Johnson,,Boston Celtics,No stats available.
1985,Hakeem Olajuwon,C,Houston Rockets,.538,20.6,11.9,1.4,2.7
,Bobby Jones,SF,Philadelphia 76ers,No stats available.
,T.R. Dunn,,Denver Nuggets,No stats available.
,Dennis Johnson,,Boston Celtics,No stats available.
,Danny Vranes,F,Seattle SuperSonics,No stats available.
1984,Larry Bird,,Boston Celtics,No stats available.
,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.
,T.R. Dunn,,Denver Nuggets,No stats available.
,Dennis Johnson,,Boston Celtics,No stats available.
,Danny Roundfield,,Atlanta Hawks,No stats available.
1983,Larry Bird,,Boston Celtics,No stats available.
,Tree Rollins,C,Atlanta Hawks,No stats available.
,Kevin McHale,,Boston Celtics,No stats available.
,Michael Cooper,,Los Angeles Lakers,No stats available.
,T.R. Dunn,,Denver Nuggets,No stats available.
1982,Larry Bird,,Boston Celtics,No stats available.
,Quinn Buckner,,Milwaukee Bucks,No stats available.
,Sidney Moncrief,G,Milwaukee Bucks,No stats available.
,Lonnie Shelton,FC,Seattle SuperSonics,No stats available.
,Jack Sikma,,Seattle SuperSonics,No stats available.
1981,Dudley Bradley,,Indiana Pacers,No stats available.
,Quinn Buckner,,Milwaukee Bucks,No stats available.
,Michael Cooper,,Los Angeles Lakers,No stats available.
,George Johnson,,San Antonio Spurs,No stats available.
,Danny Roundfield,,Atlanta Hawks,No stats available.
,Kermit Washington,,Portland Trail Blazers,No stats available.
1980,Eddie Johnson,G,Atlanta Hawks,No stats available.
,David Cowens,,Boston Celtics,No stats available.
,Quinn Buckner,,Milwaukee Bucks,No stats available.
,Kermit Washington,,Portland Trail Blazers,No stats available.
,Scott Wedman,GF,Kansas City Kings,No stats available.
1979,Eddie Johnson,G,Atlanta Hawks,No stats available.
,Moses Malone,C,Houston Rockets,No stats available.
,Michael Carr,,Detroit Pistons,No stats available.
,Lionel Hollins,,Portland Trail Blazers,No stats available.
,Maurice Lucas,,Portland Trail Blazers,No stats available.
1978,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.
,Quinn Buckner,,Milwaukee Bucks,No stats available.
,E. Coleman,,Golden State Warriors,No stats available.
,Artis Gilmore,,Chicago Bulls,No stats available.
,Robert Gross,,Portland Trail Blazers,No stats available.
,Norman Van Lier,,Chicago Bulls,No stats available.
1977,Brian Taylor,,Kansas City Kings,No stats available.
,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.
,Jim Brewer,,Cleveland Cavaliers,No stats available.
,Don Chaney,,Los Angeles Lakers,No stats available.
,Jamaal Wilkes,,Golden State Warriors,No stats available.
1976,Kareem Abdul-Jabbar,,Los Angeles Lakers,No stats available.
,Jim Brewer,,Cleveland Cavaliers,No stats available.
,Jim Cleamons,G,Cleveland Cavaliers,No stats available.
,Donald Smith,,Golden State Warriors,No stats available.
,Jamaal Wilkes,,Golden State Warriors,No stats available.
1975,David Cowens,,Boston Celtics,No stats available.
,Elvin Hayes,,Washington Bullets,No stats available.
,Don Chaney,,Boston Celtics,No stats available.
,Robert Love,,Chicago Bulls,No stats available.
,Norman Van Lier,,Chicago Bulls,No stats available.
1974,Elvin Hayes,,Capital Bullets,No stats available.
,Nathaniel Thurmond,,Golden State Warriors,No stats available.
,Don Chaney,,Boston Celtics,No stats available.
,Robert Love,,Chicago Bulls,No stats available.
,James Price,,Los Angeles Lakers,No stats available.
,Hal Uplinger,G,Phoenix Suns,No stats available.
1973,Nathaniel Thurmond,,Golden State Warriors,No stats available.
,Don Chaney,,Boston Celtics,No stats available.
,Michael Riordan,,Baltimore Bullets,No stats available.
,Paul Silas,,Boston Celtics,No stats available.
,Norman Van Lier,,Chicago Bulls,No stats available.
1972,Nathaniel Thurmond,,Golden State Warriors,No stats available.
,Don Chaney,,Boston Celtics,No stats available.
,Robert Love,,Chicago Bulls,No stats available.
,Paul Silas,,Phoenix Suns,No stats available.
,Norman Van Lier,,Chicago Bulls,No stats available.
1971,John Havlicek,,Boston Celtics,No stats available.
,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.
,Paul Silas,,Phoenix Suns,No stats available.
,Jerry Sloan,,Chicago Bulls,No stats available.
,Norman Van Lier,,Chicago Bulls,No stats available.
1970,John Havlicek,,Boston Celtics,No stats available.
,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.
,Bill Bridges,,Atlanta Hawks,No stats available.
,Joe Caldwell,,Atlanta Hawks,No stats available.
,Jerry Sloan,,Chicago Bulls,No stats available.
1969,John Havlicek,,Boston Celtics,No stats available.
,Jerry West,,Los Angeles Lakers,No stats available.
,Bill Bridges,,Atlanta Hawks,No stats available.
,Rudy LaRusso,FC,San Francisco Warriors,No stats available.
,Thomas Sanders,,Boston Celtics,No stats available.
